"id","period_raw","period_date","province_name","projection_value","projection_type","data_source","loaded_at"
1,"ene-16","2016-01-01","Pichincha",2,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
2,"ene-16","2016-01-01","Guayas",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
3,"ene-16","2016-01-01","Azuay",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
4,"ene-16","2016-01-01","Tungurahua",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
5,"ene-16","2016-01-01","Imbabura",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
6,"ene-16","2016-01-01","Manabi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
7,"ene-16","2016-01-01","Chimborazo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
8,"ene-16","2016-01-01","Loja",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
9,"ene-16","2016-01-01","El Oro",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
10,"ene-16","2016-01-01","Santo Domingo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
11,"ene-16","2016-01-01","Canar",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
12,"ene-16","2016-01-01","Los Rios",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
13,"ene-16","2016-01-01","Cotopaxi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
14,"ene-16","2016-01-01","Pastaza",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
15,"ene-16","2016-01-01","Esmeraldas",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
16,"ene-16","2016-01-01","Galapagos",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
17,"ene-16","2016-01-01","Napo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
18,"ene-16","2016-01-01","Carchi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
19,"ene-16","2016-01-01","Zamora Chinchipe",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
20,"ene-16","2016-01-01","Orellana",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
21,"ene-16","2016-01-01","Sucumbios",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
22,"ene-16","2016-01-01","Bolivar",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
23,"ene-16","2016-01-01","Morona Santiago",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
24,"ene-16","2016-01-01","Santa Elena",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
25,"feb-16","2016-02-01","Pichincha",3,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
26,"feb-16","2016-02-01","Guayas",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
27,"feb-16","2016-02-01","Azuay",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
28,"feb-16","2016-02-01","Tungurahua",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
29,"feb-16","2016-02-01","Imbabura",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
30,"feb-16","2016-02-01","Manabi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
31,"feb-16","2016-02-01","Chimborazo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
32,"feb-16","2016-02-01","Loja",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
33,"feb-16","2016-02-01","El Oro",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
34,"feb-16","2016-02-01","Santo Domingo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
35,"feb-16","2016-02-01","Canar",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
36,"feb-16","2016-02-01","Los Rios",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
37,"feb-16","2016-02-01","Cotopaxi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
38,"feb-16","2016-02-01","Pastaza",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
39,"feb-16","2016-02-01","Esmeraldas",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
40,"feb-16","2016-02-01","Galapagos",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
41,"feb-16","2016-02-01","Napo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
42,"feb-16","2016-02-01","Carchi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
43,"feb-16","2016-02-01","Zamora Chinchipe",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
44,"feb-16","2016-02-01","Orellana",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
45,"feb-16","2016-02-01","Sucumbios",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
46,"feb-16","2016-02-01","Bolivar",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
47,"feb-16","2016-02-01","Morona Santiago",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
48,"feb-16","2016-02-01","Santa Elena",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
49,"mar-16","2016-03-01","Pichincha",9,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
50,"mar-16","2016-03-01","Guayas",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
51,"mar-16","2016-03-01","Azuay",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
52,"mar-16","2016-03-01","Tungurahua",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
53,"mar-16","2016-03-01","Imbabura",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
54,"mar-16","2016-03-01","Manabi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
55,"mar-16","2016-03-01","Chimborazo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
56,"mar-16","2016-03-01","Loja",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
57,"mar-16","2016-03-01","El Oro",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
58,"mar-16","2016-03-01","Santo Domingo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
59,"mar-16","2016-03-01","Canar",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
60,"mar-16","2016-03-01","Los Rios",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
61,"mar-16","2016-03-01","Cotopaxi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
62,"mar-16","2016-03-01","Pastaza",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
63,"mar-16","2016-03-01","Esmeraldas",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
64,"mar-16","2016-03-01","Galapagos",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
65,"mar-16","2016-03-01","Napo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
66,"mar-16","2016-03-01","Carchi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
67,"mar-16","2016-03-01","Zamora Chinchipe",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
68,"mar-16","2016-03-01","Orellana",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
69,"mar-16","2016-03-01","Sucumbios",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
70,"mar-16","2016-03-01","Bolivar",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
71,"mar-16","2016-03-01","Morona Santiago",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
72,"mar-16","2016-03-01","Santa Elena",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
73,"abr-16","2016-04-01","Pichincha",11,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
74,"abr-16","2016-04-01","Guayas",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
75,"abr-16","2016-04-01","Azuay",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
76,"abr-16","2016-04-01","Tungurahua",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
77,"abr-16","2016-04-01","Imbabura",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
78,"abr-16","2016-04-01","Manabi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
79,"abr-16","2016-04-01","Chimborazo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
80,"abr-16","2016-04-01","Loja",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
81,"abr-16","2016-04-01","El Oro",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
82,"abr-16","2016-04-01","Santo Domingo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
83,"abr-16","2016-04-01","Canar",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
84,"abr-16","2016-04-01","Los Rios",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
85,"abr-16","2016-04-01","Cotopaxi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
86,"abr-16","2016-04-01","Pastaza",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
87,"abr-16","2016-04-01","Esmeraldas",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
88,"abr-16","2016-04-01","Galapagos",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
89,"abr-16","2016-04-01","Napo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
90,"abr-16","2016-04-01","Carchi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
91,"abr-16","2016-04-01","Zamora Chinchipe",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
92,"abr-16","2016-04-01","Orellana",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
93,"abr-16","2016-04-01","Sucumbios",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
94,"abr-16","2016-04-01","Bolivar",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
95,"abr-16","2016-04-01","Morona Santiago",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
96,"abr-16","2016-04-01","Santa Elena",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
97,"may-16","2016-05-01","Pichincha",13,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
98,"may-16","2016-05-01","Guayas",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
99,"may-16","2016-05-01","Azuay",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
100,"may-16","2016-05-01","Tungurahua",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
101,"may-16","2016-05-01","Imbabura",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
102,"may-16","2016-05-01","Manabi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
103,"may-16","2016-05-01","Chimborazo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
104,"may-16","2016-05-01","Loja",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
105,"may-16","2016-05-01","El Oro",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
106,"may-16","2016-05-01","Santo Domingo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
107,"may-16","2016-05-01","Canar",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
108,"may-16","2016-05-01","Los Rios",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
109,"may-16","2016-05-01","Cotopaxi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
110,"may-16","2016-05-01","Pastaza",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
111,"may-16","2016-05-01","Esmeraldas",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
112,"may-16","2016-05-01","Galapagos",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
113,"may-16","2016-05-01","Napo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
114,"may-16","2016-05-01","Carchi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
115,"may-16","2016-05-01","Zamora Chinchipe",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
116,"may-16","2016-05-01","Orellana",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
117,"may-16","2016-05-01","Sucumbios",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
118,"may-16","2016-05-01","Bolivar",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
119,"may-16","2016-05-01","Morona Santiago",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
120,"may-16","2016-05-01","Santa Elena",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
121,"jun-16","2016-06-01","Pichincha",15,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
122,"jun-16","2016-06-01","Guayas",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
123,"jun-16","2016-06-01","Azuay",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
124,"jun-16","2016-06-01","Tungurahua",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
125,"jun-16","2016-06-01","Imbabura",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
126,"jun-16","2016-06-01","Manabi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
127,"jun-16","2016-06-01","Chimborazo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
128,"jun-16","2016-06-01","Loja",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
129,"jun-16","2016-06-01","El Oro",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
130,"jun-16","2016-06-01","Santo Domingo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
131,"jun-16","2016-06-01","Canar",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
132,"jun-16","2016-06-01","Los Rios",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
133,"jun-16","2016-06-01","Cotopaxi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
134,"jun-16","2016-06-01","Pastaza",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
135,"jun-16","2016-06-01","Esmeraldas",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
136,"jun-16","2016-06-01","Galapagos",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
137,"jun-16","2016-06-01","Napo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
138,"jun-16","2016-06-01","Carchi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
139,"jun-16","2016-06-01","Zamora Chinchipe",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
140,"jun-16","2016-06-01","Orellana",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
141,"jun-16","2016-06-01","Sucumbios",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
142,"jun-16","2016-06-01","Bolivar",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
143,"jun-16","2016-06-01","Morona Santiago",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
144,"jun-16","2016-06-01","Santa Elena",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
145,"jul-16","2016-07-01","Pichincha",15,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
146,"jul-16","2016-07-01","Guayas",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
147,"jul-16","2016-07-01","Azuay",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
148,"jul-16","2016-07-01","Tungurahua",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
149,"jul-16","2016-07-01","Imbabura",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
150,"jul-16","2016-07-01","Manabi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
151,"jul-16","2016-07-01","Chimborazo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
152,"jul-16","2016-07-01","Loja",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
153,"jul-16","2016-07-01","El Oro",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
154,"jul-16","2016-07-01","Santo Domingo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
155,"jul-16","2016-07-01","Canar",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
156,"jul-16","2016-07-01","Los Rios",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
157,"jul-16","2016-07-01","Cotopaxi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
158,"jul-16","2016-07-01","Pastaza",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
159,"jul-16","2016-07-01","Esmeraldas",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
160,"jul-16","2016-07-01","Galapagos",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
161,"jul-16","2016-07-01","Napo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
162,"jul-16","2016-07-01","Carchi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
163,"jul-16","2016-07-01","Zamora Chinchipe",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
164,"jul-16","2016-07-01","Orellana",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
165,"jul-16","2016-07-01","Sucumbios",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
166,"jul-16","2016-07-01","Bolivar",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
167,"jul-16","2016-07-01","Morona Santiago",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
168,"jul-16","2016-07-01","Santa Elena",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
169,"ago-16","2016-08-01","Pichincha",18,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
170,"ago-16","2016-08-01","Guayas",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
171,"ago-16","2016-08-01","Azuay",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
172,"ago-16","2016-08-01","Tungurahua",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
173,"ago-16","2016-08-01","Imbabura",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
174,"ago-16","2016-08-01","Manabi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
175,"ago-16","2016-08-01","Chimborazo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
176,"ago-16","2016-08-01","Loja",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
177,"ago-16","2016-08-01","El Oro",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
178,"ago-16","2016-08-01","Santo Domingo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
179,"ago-16","2016-08-01","Canar",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
180,"ago-16","2016-08-01","Los Rios",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
181,"ago-16","2016-08-01","Cotopaxi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
182,"ago-16","2016-08-01","Pastaza",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
183,"ago-16","2016-08-01","Esmeraldas",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
184,"ago-16","2016-08-01","Galapagos",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
185,"ago-16","2016-08-01","Napo",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
186,"ago-16","2016-08-01","Carchi",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
187,"ago-16","2016-08-01","Zamora Chinchipe",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
188,"ago-16","2016-08-01","Orellana",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
189,"ago-16","2016-08-01","Sucumbios",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
190,"ago-16","2016-08-01","Bolivar",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
191,"ago-16","2016-08-01","Morona Santiago",0,"Conservative","bdd.xlsx","2025-05-26 22:57:47.02756-05"
