"tariff_type","day_type","quarter_hour_index","hour_of_day","minute_of_hour","interval_start_time","period_name","tariff_usd_per_kwh"
"home_charging","weekday","0",0,"0","00:00:00","Preferencial","0.05"
"home_charging","weekday","1",0,"15","00:15:00","Preferencial","0.05"
"home_charging","weekday","2",0,"30","00:30:00","Preferencial","0.05"
"home_charging","weekday","3",0,"45","00:45:00","Preferencial","0.05"
"home_charging","weekday","4",1,"0","01:00:00","Preferencial","0.05"
"home_charging","weekday","5",1,"15","01:15:00","Preferencial","0.05"
"home_charging","weekday","6",1,"30","01:30:00","Preferencial","0.05"
"home_charging","weekday","7",1,"45","01:45:00","Preferencial","0.05"
"home_charging","weekday","8",2,"0","02:00:00","Preferencial","0.05"
"home_charging","weekday","9",2,"15","02:15:00","Preferencial","0.05"
"home_charging","weekday","10",2,"30","02:30:00","Preferencial","0.05"
"home_charging","weekday","11",2,"45","02:45:00","Preferencial","0.05"
"home_charging","weekday","12",3,"0","03:00:00","Preferencial","0.05"
"home_charging","weekday","13",3,"15","03:15:00","Preferencial","0.05"
"home_charging","weekday","14",3,"30","03:30:00","Preferencial","0.05"
"home_charging","weekday","15",3,"45","03:45:00","Preferencial","0.05"
"home_charging","weekday","16",4,"0","04:00:00","Preferencial","0.05"
"home_charging","weekday","17",4,"15","04:15:00","Preferencial","0.05"
"home_charging","weekday","18",4,"30","04:30:00","Preferencial","0.05"
"home_charging","weekday","19",4,"45","04:45:00","Preferencial","0.05"
"home_charging","weekday","20",5,"0","05:00:00","Preferencial","0.05"
"home_charging","weekday","21",5,"15","05:15:00","Preferencial","0.05"
"home_charging","weekday","22",5,"30","05:30:00","Preferencial","0.05"
"home_charging","weekday","23",5,"45","05:45:00","Preferencial","0.05"
"home_charging","weekday","24",6,"0","06:00:00","Preferencial","0.05"
"home_charging","weekday","25",6,"15","06:15:00","Preferencial","0.05"
"home_charging","weekday","26",6,"30","06:30:00","Preferencial","0.05"
"home_charging","weekday","27",6,"45","06:45:00","Preferencial","0.05"
"home_charging","weekday","28",7,"0","07:00:00","Preferencial","0.05"
"home_charging","weekday","29",7,"15","07:15:00","Preferencial","0.05"
"home_charging","weekday","30",7,"30","07:30:00","Preferencial","0.05"
"home_charging","weekday","31",7,"45","07:45:00","Preferencial","0.05"
"home_charging","weekday","32",8,"0","08:00:00","Pico","0.08"
"home_charging","weekday","33",8,"15","08:15:00","Pico","0.08"
"home_charging","weekday","34",8,"30","08:30:00","Pico","0.08"
"home_charging","weekday","35",8,"45","08:45:00","Pico","0.08"
"home_charging","weekday","36",9,"0","09:00:00","Pico","0.08"
"home_charging","weekday","37",9,"15","09:15:00","Pico","0.08"
"home_charging","weekday","38",9,"30","09:30:00","Pico","0.08"
"home_charging","weekday","39",9,"45","09:45:00","Pico","0.08"
"home_charging","weekday","40",10,"0","10:00:00","Pico","0.08"
"home_charging","weekday","41",10,"15","10:15:00","Pico","0.08"
"home_charging","weekday","42",10,"30","10:30:00","Pico","0.08"
"home_charging","weekday","43",10,"45","10:45:00","Pico","0.08"
"home_charging","weekday","44",11,"0","11:00:00","Pico","0.08"
"home_charging","weekday","45",11,"15","11:15:00","Pico","0.08"
"home_charging","weekday","46",11,"30","11:30:00","Pico","0.08"
"home_charging","weekday","47",11,"45","11:45:00","Pico","0.08"
